player,pos,salary,caphit
Arturs Kulda,D,516666,516666
Shawn Thornton,RW,516666,516666
Cody Bass,C,510000,513333
Nicholas Drazenovic,C,505000,513333
David Desharnais,C,500000,512500
David Steckel,C,500000,512500
Chris Thorburn,RW,535000,510000
Nicolas Blanchard,LW,500000,510000
Brett Carson,D,525000,508333
Jannik Hansen,RW,500000,508333
Phil Oreskovic,D,500000,508333
Dustin Jeffrey,C,475000,508333
Matt Clackson,LW,495000,507500
Radek Smolenak,LW,515000,506667
Ryan Russell,LW,495000,503333
Blair Jones,C,510000,501667
Tomas Kopecky,RW,525000,500000
Brandon Segal,RW,525000,500000
Jerred Smithson,C,525000,500000
Matt D'Agostini,RW,508000,500000
Paul Bissonnette,D,500000,500000
Troy Bodie,RW,500000,500000
Johnny Boychuk,D,500000,500000
Sheldon Brookbank,D,500000,500000
Matt Carkner,D,500000,500000
Scott Clemmensen,G,500000,500000
Chris Conner,RW,500000,500000
Patrick Dwyer,RW,500000,500000
Colin Fraser,C,500000,500000
Matt Hendricks,C,500000,500000
Josh Hennessy,C,500000,500000
Doug Janik,D,500000,500000
Boyd Kane,LW,500000,500000
Matt Kassian,LW,500000,500000
Krystofer Kolanos,C,500000,500000
Joakim Lindstrom,LW,500000,500000
Curtis McElhinney,G,500000,500000
Tomas Mojzis,D,500000,500000
Matt Murley,LW,500000,500000
Adam Pardy,D,500000,500000
Pierre-Alexandre Parenteau,RW,500000,500000
Mike Rupp,LW,500000,500000
Martin St-Pierre,C,500000,500000
Nate Thompson,C,500000,500000
Joel Ward,RW,500000,500000
John Curry,G,475000,500000
Cal O'Reilly,C,475000,500000
Brandon Prust,C,475000,500000
Michael Kostka,D,489000,499500
Derek Whitmore,C,489000,499500
Kyle Brodziak,C,500000,497500
Pierre-Cédrick Labrie,LW,485000,493333
Mario Bliznak,C,475000,493333
Jérôme Samson,RW,475000,493333
Cédrick Desjardins,G,485000,492500
Deryk Engelland,D,485000,492500
Francis Wathier,LW,485000,492500
Denis Tolpeko,LW,500000,491667
Kris Versteeg,RW,490000,491667
Patrick Kaleta,RW,475000,491667
Staffan Kronwall,D,500000,487500
Joey MacDonald,G,500000,487500
Trent Whitfield,C,500000,487500
David Van Der Gulik,RW,487500,487500
Keith Aucoin,C,475000,487500
Andrew Ebbett,C,475000,487500
Zenon Konopka,C,475000,487500
Jay Leach,D,475000,487500
John Mitchell,C,475000,487500
Warren Peters,C,475000,487500
Rich Peverley,LW,475000,487500
Tim Sestito,C,475000,487500
Mike Vernace,D,495000,486667
Alexandre Burrows,LW,525000,483333
Andrew MacDonald,D,475000,483333
Derek Meech,D,475000,483333
Colin Stuart,LW,475000,483333
Andre Deveaux,C,480000,480000
Tim Wallace,C,475000,480000
Matt Ellis,LW,475000,475000
Jay Harrison,D,475000,475000
Mike McKenna,G,475000,475000
Kris Newbury,C,475000,475000
Michael Ryan,LW,475000,475000
Tyler Sloan,D,475000,475000
Ryan Vesce,RW,475000,475000
Pierre-Luc Leblond-Létourneau,RW,475000,471667
Brad Staubitz,D,475000,464167
Ilya Kovalchuk,LW,7500000,
Nicklas Lidstrom,D,7450000,
Chris Drury,C,7100000,
Scott Niedermayer,D,6750000,
Bryan McCabe,D,6150000,
Paul Kariya,LW,6000000,
Brian Rafalski,D,6000000,
Joe Sakic,C,6000000,
Mathieu Schneider,D,5750000,
Marty Turco,G,5700000,
Cristobal Huet,G,5625000,
Mats Sundin,C,5525000,
Michael Nylander,C,5500000,
Sergei Zubov,D,5350000,
Kim Johnsson,D,5250000,
Brian Rolston,LW,5250000,
Rob Blake,D,5000000,
Pavel Kubina,D,5000000,
Daymond Langkow,C,5000000,
Markus Naslund,LW,5000000,
Emmanuel Fernandez,G,4750000,
Kristian Huselius,RW,4750000,
Jason Arnott,C,4500000,
Jason Blake,LW,4500000,
Rick DiPietro,G,4500000,
Bill Guerin,RW,4500000,
Alexei Kovalev,RW,4500000,
Keith Tkachuk,LW,4500000,
Glen Murray,RW,4150000,
Jere Lehtinen,RW,4100000,
Rod Brind'Amour,C,4000000,
Mike Comrie,C,4000000,
Pavol Demitra,C,4000000,
Jean-Pierre Dumont,RW,4000000,
Sergei Fedorov,C,4000000,
Robert Lang,C,4000000,
Jay McKee,D,4000000,
Patrick O'Sullivan,C,4000000,
Vesa Toskala,G,4000000,
John Madden,C,3958346,
Jochen Hecht,C,3800000,
Martin Gerber,G,3700000,
Cory Stillman,C,3600000,
Sean Avery,LW,3500000,
Jeff Finger,D,3500000,
Derian Hatcher,D,3500000,
Fredrik Modin,LW,3500000,
Craig Rivet,D,3500000,
Marco Sturm,C,3500000,
Christian Backman,D,3400000,
Mike Van Ryn,D,3350000,
Andy McDonald,C,3333333,
Jaroslav Spacek,D,3300000,
Ruslan Salei,D,3025000,
Niklas Hagman,LW,3000000,
Filip Kuba,D,3000000,
Pascal Leclaire,G,3000000,
Chris Mason,G,3000000,
Dwayne Roloson,G,3000000,
Andy Sutton,D,3000000,
Colin White,D,3000000,
Brendan Witt,D,3000000,
Nicholas Boynton,D,2950000,
