player,team,position,caphit_2016-17,caphit_2017-18,salary_2016-17,salary_2017-18,salary_2018-19,salary_2019-20,salary_2020-21
Troy Brouwer,CGY,Right,4.500,4.500,4.500,4.500,4.500,4.500,UFA
Max Pacioretty,MTL,Left,4.500,4.500,5.000,5.000,5.000,UFA,
Antti Niemi,DAL,Goaltender,4.500,4.500,4.500,4.500,UFA,,
Nazem Kadri,TOR,Center,4.500,4.500,5.000,5.000,4.500,4.500,4.000
Brad Marchand,BOS,Center,4.500,6.125,5.000,8.000,8.000,7.500,5.000
Francois Beauchemin,COL,Defence,4.500,4.500,4.500,4.500,UFA,,
Jason Demers,FLA,Defence,4.500,4.500,5.500,5.400,4.400,3.600,3.600
Mats Zuccarello,NYR,Left,4.500,4.500,4.500,4.500,4.500,UFA,
Jaroslav Halak,NYI,Goaltender,4.500,4.500,4.750,5.000,UFA,,
Brooks Laich,TOR,Center,4.500,0.000,4.000,UFA,,,
Alexandre Burrows,OTT,Left,4.500,2.500,3.000,2.500,2.500,UFA,
Jaroslav Halak,NYI,Goaltender,4.500,4.500,4.750,5.000,UFA,,
Brooks Laich,TOR,Center,4.500,0.000,4.000,UFA,,,
Christopher Tanev,VAN,Defence,4.450,4.450,3.500,5.000,5.000,5.250,UFA
Alex Killorn,TBL,Center,4.450,4.450,4.450,4.450,4.450,4.450,4.450
Mike Fisher,NAS,Center,4.400,0.000,4.000,UFA,,,
Brandon Sutter,VAN,Center,4.375,4.375,4.250,4.250,4.375,4.500,4.500
Jack Johnson,CLB,Defence,4.357,4.357,5.000,5.000,UFA,,
Drew Stafford,WPG,Right,4.350,0.000,4.350,UFA,,,
Drew Stafford,BOS,Right,4.350,0.000,4.350,UFA,,,
Dmitry Kulikov,BUF,Defence,4.333,0.000,4.500,UFA,,,
Sean Couturier,PHI,Center,4.333,4.333,3.750,4.000,4.250,4.500,4.750
Devan Dubnyk,MIN,Goaltender,4.333,4.333,5.000,5.000,5.000,3.500,2.500
Michael Frolik,CGY,Center,4.300,4.300,5.000,4.000,4.000,3.000,UFA
