player,position,signed_after_season,length_years,cap_hit
Hagelin,L,2018-2019,4,2750000
Grant,L,2019-2020,3,1500000
Dadonov,L,2019-2020,3,5000000
Steen,L,2015-2016,4,5750000
Maroon,L,2019-2020,2,900000
Bellemare,L,2018-2019,2,1800000
McLeod,L,2017-2018,1,750000
Marleau,L,2019-2020,1,700000
Pasta,R,2016-2017,6,6666667
Debrincat,R,2018-2019,3,6400000
Puljujarvi,R,2018-2019,2,1175000
Laine,R,2018-2019,2,6750000
Gallagher-1,R,2013-2014,6,3750000
Kase,R,2017-2018,3,2600000
Willy,R,2017-2018,6,6900000
Tuch,R,2017-2018,7,4750000
Rantanen,R,2018-2019,6,9250000
Kapanen,R,2018-2019,3,3200000
Marner,R,2018-2019,6,10893000
Boeser,R,2018-2019,3,5875000
Troy Terry,R,2019-2020,3,1450000
Joey Anderson,R,2019-2020,3,750000
Tarasenko,R,2014-2015,8,7500000
Bjorstrand,R,2017-2018,3,2500000
Gurianov,R,2019-2020,2,2550000
Nino Niederreiter,R,2016-2017,5,5250000
Wilson,R,2017-2018,6,5166667
Hartman,R,2018-2019,2,1900000
Aube-Kubel,R,2019-2020,2,1075000
LeBanc,R,2019-2020,4,4725000
Kessel,R,2012-2013,8,8000000
Kane,R,2013-2014,8,10500000
Voracek,R,2014-2015,8,8250000
Palmeri,R,2015-2016,5,4650000
Smith,R,2015-2016,5,5000000
Kucherov,R,2017-2018,8,9500000
Olofsson,R,2019-2020,2,3050000
Nichuckin,R,2019-2020,2,2500000
Mantha,R,2017-2018,4,5700000
Rust,R,2017-2018,4,3500000
Sorensen,R,2017-2018,2,1500000
Stone,R,2018-2019,8,9500000
Reider,R,2019-2020,1,700000
Frk,R,2019-2020,2,725000
Anderson,R,2019-2020,7,5500000
Brown,R,2019-2020,3,3600000
Weise,R,2015-2016,4,2350000
Donskoi,R,2018-2019,4,3900000
Connolly,R,2018-2019,4,3500000
Armia,R,2018-2019,2,2600000
Kuhnackl,R,2018-2019,1,850000
Hathaway,R,2018-2019,4,1500000
Archibald,R,2019-2020,2,1500000
Grimaldi,R,2019-2020,2,2000000
Noesen,R,2019-2020,1,925000
Brown,R,2012-2013,8,5875000
Horton,R,2012-2013,7,5300000
Dorsett,R,2014-2015,4,2650000
Okposo,R,2015-2016,7,6000000
Atkinson,R,2016-2017,7,5875000
Silfverberg,R,2018-2019,5,5250000
Chiasson,R,2018-2019,2,2150000
Panik,R,2018-2019,4,2750000
Pitlick,R,2019-2020,2,1750000
Fast,R,2019-2020,3,2000000
Gallagher - 2,R,2019-2020,6,6500000
Toffoli,R,2019-2020,4,4250000
Clarkson,R,2012-2013,7,5250000
Callahan,R,2013-2014,6,5800000
Clutterbuck,R,2015-2016,5,3500000
Gustav Nyquist,R,2018-2019,4,5500000
Kassian,R,2018-2019,4,3200000
Eberle,R,2018-2019,5,5500000
Hossa,R,2008-2009,12,5275000
Eriksson,R,2015-2016,6,6000000
Radulov,R,2016-2017,5,6250000
Oshie,R,2016-2017,8,5750000
Hornqvist,R,2016-2017,5,5300000
Zuccarello,R,2018-2019,5,6000000
Gaborik,R,2013-2014,7,4875000
Beagle,R,2017-2018,4,3000000
Wheeler,R,2017-2018,5,8250000
Frolik,R,2019-2020,1,750000
Simmonds,R,2019-2020,1,1500000
Patrick Eaves,R,2016-2017,3,3150000
Bobby Ryan,R,2019-2020,1,1000000
Reaves,R,2019-2020,2,1750000
Perry,R,2018-2019,1,1500000
Richardson,R,2019-2020,1,1000000
Ekblad,D,2015-2016,8,7500000
Chychrun,D,2017-2018,6,4600000
Brodin-1,D,2013-2014,6,4166667
Klefbom,D,2014-2015,7,4167000
Risto,D,2015-2016,6,5400000
Jones,D,2015-2016,6,5400000
Maatta,D,2015-2016,6,4083333
Hanifin,D,2017-2018,6,4950000
Mcavoy,D,2018-2019,3,4900000
Girard,D,2018-2019,7,5000000
Sergachev,D,2019-2020,3,4800000
Hamonic,D,2012-2013,7,3857143
Hamilton,D,2014-2015,6,5750000
Klingberg,D,2014-2015,7,4250000
Larsson,D,2014-2015,6,4166667
Hampus Lindholm,D,2015-2016,6,5250000
Rielly,D,2015-2016,6,5000000
Pelech,D,2016-2017,4,1600000
Morin,D,2017-2018,3,700000
Carlo,D,2018-2019,2,2850000
Lauzon,D,2018-2019,2,850000
Werenski,D,2018-2019,3,5000000
Jones,D,2018-2019,2,850000
Chabot,D,2018-2019,8,8000000
Provorov,D,2018-2019,6,6750000
Mete,D,2019-2020,1,735000
Leddy,D,2013-2014,7,5500000
Murphy,D,2015-2016,6,3850000
Slavin,D,2016-2017,7,5300000
Severson,D,2016-2017,6,4166667
Matheson,D,2016-2017,8,4875000
Nutivaara,D,2017-2018,4,2700000
Dumba,D,2017-2018,5,6000000
Theodore,D,2017-2018,7,5200000
Andersson,D,2018-2019,6,4550000
Sanheim,D,2018-2019,2,3250000
Pionk,D,2018-2019,2,3000000
Jacob Larsson,D,2019-2020,2,1200000
Kylington,D,2019-2020,1,787500
Carlsson,D,2019-2020,2,725000
Myers,D,2019-2020,3,2550000
Pettersson,D,2019-2020,5,4025175
Cernak,D,2019-2020,3,2950000
Dermott,D,2019-2020,1,874125
