Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /data/seasons/2000-01.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /data/seasons/2007-08.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /data/seasons/1975-76.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:54] "GET /data/seasons/2019-20.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:54] "GET /fonts/BarlowCondensed-600-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:54] "GET /data/seasons/2001-02.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:55] "GET /data/seasons/2002-03.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:59] "GET /data/seasons/1971-72.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /data/seasons/2022-23.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /data/seasons/1982-83.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:19:00] "GET /js/sim.js HTTP/1.1" 200 -
